# Reusable fixture data for db_core learning labs.
# Format: set<TAB>id<TAB>name<TAB>note
# Keep this deterministic: future page, heap, scan, index, and benchmark labs reuse it.
set	id	name	note
tiny_basics	1	alice	small baseline record
tiny_basics	2	bob	second small baseline record
tiny_basics	3	carol	third small baseline record
b_tree_unsorted_keys	7100	zara	B+Tree demo: inserted first but should sort near the end by key
b_tree_unsorted_keys	7050	mia	B+Tree demo: middle key inserted before smaller keys
b_tree_unsorted_keys	7090	tom	B+Tree demo: high key inserted early
b_tree_unsorted_keys	7010	ada	B+Tree demo: smallest key inserted after larger keys
b_tree_unsorted_keys	7075	kai	B+Tree demo: non-contiguous key to show lower-bound range behavior
b_tree_unsorted_keys	7030	nora	B+Tree demo: smaller key inserted late
b_tree_unsorted_keys	7020	leo	B+Tree demo: second-smallest key inserted late
b_tree_unsorted_keys	7080	ivy	B+Tree demo: range scan should place this before 7090
b_tree_unsorted_keys	7040	raj	B+Tree demo: inserted after 7080 but sorted before 7050
b_tree_unsorted_keys	7060	uma	B+Tree demo: inserted last but sorted into the middle
variable_lengths	1001	a	minimum practical name length
variable_lengths	1002	bo	two byte ASCII name
variable_lengths	1003	cyd	three byte ASCII name
variable_lengths	1004	daphne	medium ASCII name
variable_lengths	1005	elizabeth	longer ASCII name
variable_lengths	1006	franklin_roosevelt	underscore and longer payload
variable_lengths	1007	grace_hopper_database_pioneer	long educational name
variable_lengths	1008	henrietta_with_a_much_longer_variable_length_record	forces larger record byte length
unicode_utf8	1101	zoe	plain ASCII control inside unicode set
unicode_utf8	1102	José	accented UTF-8 bytes
unicode_utf8	1103	Miyuki	romanized name
unicode_utf8	1104	李雷	CJK UTF-8 multi-byte name
unicode_utf8	1105	علي	Arabic UTF-8 multi-byte name
unicode_utf8	1106	Søren	Nordic UTF-8 name
unicode_utf8	1107	Renée	accented Latin UTF-8 name
unicode_utf8	1108	Ana María	space plus accented UTF-8 name
deletion_candidates	1201	delete_candidate_001	used to verify tombstone delete and stable RowId
deletion_candidates	1202	delete_candidate_002	used to verify tombstone delete and stable RowId
deletion_candidates	1203	delete_candidate_003	used to verify tombstone delete and stable RowId
deletion_candidates	1204	delete_candidate_004	used to verify tombstone delete and stable RowId
deletion_candidates	1205	delete_candidate_005	used to verify tombstone delete and stable RowId
deletion_candidates	1206	delete_candidate_006	used to verify tombstone delete and stable RowId
deletion_candidates	1207	delete_candidate_007	used to verify tombstone delete and stable RowId
deletion_candidates	1208	delete_candidate_008	used to verify tombstone delete and stable RowId
deletion_candidates	1209	delete_candidate_009	used to verify tombstone delete and stable RowId
deletion_candidates	1210	delete_candidate_010	used to verify tombstone delete and stable RowId
deletion_candidates	1211	delete_candidate_011	used to verify tombstone delete and stable RowId
deletion_candidates	1212	delete_candidate_012	used to verify tombstone delete and stable RowId
deletion_candidates	1213	delete_candidate_013	used to verify tombstone delete and stable RowId
deletion_candidates	1214	delete_candidate_014	used to verify tombstone delete and stable RowId
deletion_candidates	1215	delete_candidate_015	used to verify tombstone delete and stable RowId
deletion_candidates	1216	delete_candidate_016	used to verify tombstone delete and stable RowId
deletion_candidates	1217	delete_candidate_017	used to verify tombstone delete and stable RowId
deletion_candidates	1218	delete_candidate_018	used to verify tombstone delete and stable RowId
deletion_candidates	1219	delete_candidate_019	used to verify tombstone delete and stable RowId
deletion_candidates	1220	delete_candidate_020	used to verify tombstone delete and stable RowId
page_pressure	2001	page_pressure_user_001_wide_payload_segment_wide_payload_segment_	variable payload bucket 1; should eventually span pages
page_pressure	2002	page_pressure_user_002_wide_payload_segment_wide_payload_segment_wide_payload_segment_	variable payload bucket 2; should eventually span pages
page_pressure	2003	page_pressure_user_003_wide_payload_segment_wide_payload_segment_wide_payload_segment_wide_payload_segment_	variable payload bucket 3; should eventually span pages
page_pressure	2004	page_pressure_user_004_wide_payload_segment_wide_payload_segment_wide_payload_segment_wide_payload_segment_wide_payload_segment_	variable payload bucket 4; should eventually span pages
