| algorithm | mode | requests | users | distribution | time | memory | allocations |
|---|---|---:|---:|---|---:|---:|---:|
| token-bucket | serial | 10k | 1 | hotspot | 0.95 ms | 336 B | 2 |
| token-bucket | serial | 10k | 100 | skewed | 0.52 ms | 3.34 KB | 32 |
| token-bucket | serial | 10k | 1000 | uniform | 0.49 ms | 208.28 KB | 1021 |
| token-bucket | serial | 10k | 10000 | unique | 0.91 ms | 1.79 MB | 10080 |
| token-bucket | serial | 100k | 1 | hotspot | 4.42 ms | 336 B | 2 |
| token-bucket | serial | 100k | 1000 | skewed | 4.62 ms | 49.77 KB | 274 |
| token-bucket | serial | 100k | 10000 | uniform | 5.57 ms | 1.79 MB | 10080 |
| token-bucket | serial | 100k | 100000 | unique | 9.81 ms | 15.29 MB | 100531 |
| token-bucket | serial | 1m | 1 | hotspot | 45.15 ms | 336 B | 2 |
| token-bucket | serial | 1m | 10000 | skewed | 48.73 ms | 449.08 KB | 2630 |
| token-bucket | serial | 1m | 100000 | uniform | 61.05 ms | 15.29 MB | 100531 |
| token-bucket | serial | 1m | 1000000 | unique | 202.26 ms | 215.61 MB | 1008199 |
| token-bucket | parallel | 10k | 1 | hotspot | 1.76 ms | 4.87 KB | 33 |
| token-bucket | parallel | 10k | 100 | skewed | 1.40 ms | 6.10 KB | 59 |
| token-bucket | parallel | 10k | 1000 | uniform | 1.63 ms | 210.64 KB | 1047 |
| token-bucket | parallel | 10k | 10000 | unique | 2.18 ms | 1.79 MB | 10105 |
| token-bucket | parallel | 100k | 1 | hotspot | 13.61 ms | 3.54 KB | 30 |
| token-bucket | parallel | 100k | 1000 | skewed | 14.89 ms | 52.54 KB | 301 |
| token-bucket | parallel | 100k | 10000 | uniform | 17.42 ms | 1.79 MB | 10105 |
| token-bucket | parallel | 100k | 100000 | unique | 23.05 ms | 15.29 MB | 100554 |
| token-bucket | parallel | 1m | 1 | hotspot | 134.02 ms | 1.65 KB | 23 |
| token-bucket | parallel | 1m | 10000 | skewed | 163.85 ms | 451.09 KB | 2657 |
| token-bucket | parallel | 1m | 100000 | uniform | 189.67 ms | 15.30 MB | 100557 |
| token-bucket | parallel | 1m | 1000000 | unique | 317.63 ms | 215.53 MB | 1008216 |
| fixed-window | serial | 10k | 1 | hotspot | 0.39 ms | 336 B | 2 |
| fixed-window | serial | 10k | 100 | skewed | 0.40 ms | 3.34 KB | 32 |
| fixed-window | serial | 10k | 1000 | uniform | 0.44 ms | 208.28 KB | 1021 |
| fixed-window | serial | 10k | 10000 | unique | 0.97 ms | 1.79 MB | 10080 |
| fixed-window | serial | 100k | 1 | hotspot | 3.77 ms | 336 B | 2 |
| fixed-window | serial | 100k | 1000 | skewed | 3.90 ms | 49.77 KB | 274 |
| fixed-window | serial | 100k | 10000 | uniform | 5.06 ms | 1.79 MB | 10080 |
| fixed-window | serial | 100k | 100000 | unique | 9.91 ms | 15.29 MB | 100531 |
| fixed-window | serial | 1m | 1 | hotspot | 37.88 ms | 336 B | 2 |
| fixed-window | serial | 1m | 10000 | skewed | 41.78 ms | 449.08 KB | 2630 |
| fixed-window | serial | 1m | 100000 | uniform | 53.92 ms | 15.29 MB | 100531 |
| fixed-window | serial | 1m | 1000000 | unique | 210.80 ms | 215.53 MB | 1008195 |
| fixed-window | parallel | 10k | 1 | hotspot | 1.16 ms | 1.75 KB | 23 |
| fixed-window | parallel | 10k | 100 | skewed | 1.29 ms | 4.95 KB | 55 |
| fixed-window | parallel | 10k | 1000 | uniform | 1.43 ms | 210.02 KB | 1046 |
| fixed-window | parallel | 10k | 10000 | unique | 2.18 ms | 1.79 MB | 10102 |
| fixed-window | parallel | 100k | 1 | hotspot | 11.56 ms | 1.90 KB | 25 |
| fixed-window | parallel | 100k | 1000 | skewed | 13.70 ms | 51.15 KB | 295 |
| fixed-window | parallel | 100k | 10000 | uniform | 16.22 ms | 1.79 MB | 10102 |
| fixed-window | parallel | 100k | 100000 | unique | 22.77 ms | 15.29 MB | 100555 |
| fixed-window | parallel | 1m | 1 | hotspot | 117.90 ms | 1.63 KB | 23 |
| fixed-window | parallel | 1m | 10000 | skewed | 149.70 ms | 450.40 KB | 2651 |
| fixed-window | parallel | 1m | 100000 | uniform | 176.95 ms | 15.29 MB | 100557 |
| fixed-window | parallel | 1m | 1000000 | unique | 314.72 ms | 215.55 MB | 1008227 |
